Column1;Column2;Column3
dosahuji;τυγχάνω (+ gen);
vysílám, dovoluji;ἐφ-ίημι;
ženu se za, toužím po;ἐφ-ίεμαι (+ gen);
vysílám (napřed);προίημι;
ztrácím;προ-ίεμαι;
stavím;ἵστημι;
činím, ustanovuji;καθ-ίστημι;
ustanovuji;ἐφ-ίστημι;
ukazuji;δείκνυμι;
posílám;ἵημι;
zrazuji;προ-δίδωμι;
nakládám s;δια-τίθημι (+ akuz.);
odesílám od sebe, propouštím;ἀπο-πέμπομαι;
odvracím;ἀφ-ίστημι;
odpadám od;ἀφίσταμαι;
zastavuji, zadržuji;παύω;
předávám, odevzdávám;παραδίδωμι;
ukazuji, dokazuje;ἐπι-δείκνυμι;
vzdávám se;παραδίδωμι ἐμαυτόν;
zotročuji, podmaňuji;δουλῶ, οῦν;
rolničím, vzdělávám půdu;γεωργῶ, εῖν;
prodávám;ἀπο-δίδομαι;
věnuji, zasvěcuji;ἀνα-τίθημι;
propouštím;ἀφ-ίημι;
útočím, napadám;ἐπι-τίθεμαι (dat.);
vkládám, naháním;ἐν-τίθημι;
představuji, měním;μεθ-ίστημι;
ustanovuji, určuji;ἀπο-δείκνυμι;
usiluji o;ἐπι-τίθεμαι (dat.);
zákony dávám;νόμους τίθημι;
překládám, měním;μετα-τίθημι;
zřizuji, zařizuji;κατα-σκευάζω;
dovoluji, propouštím;παρ-ίημι;
pokutu platím, jsem trestán;δικην δίδωμι;
odkládám, vysazuji;ἐκ-τίθημι;
slibuji;ἐπ-αγγέλλομαι;
připojuji se;προσ-τίθεμαι (dat.);
(vzhůru) stavím;ἀνίστημι;
ležím;κεῖμαι;
nastupuji;καθ-ίσταμαι;
hýbám;κινῶ, εῖν;
přihází se;συμ-βαίνει;
obviňuji;αἰτιῶμαι, ᾶσθαι;
vstupuji;ἐμ-βαίνω;
utíkám (pryč);ἀπο-διδράσκω;
řadím se proti;ἀντι-τάττομαι;
předstihnuji;φθάνω;
činím dříve než ty;φθάνω σε ποιῶν;
kráčím, přicházím;χωρῶ, εῖν;
stavím se kolem;περι-ίσταμαι;
stavím se na odpor, odporuji;ἀνθ-ίσταμαι;
stavím se v čelo;προ-ίσταμαι;
jsem ustanoven;ἐπί-κειμαι (pass. k ἐπιτίθημι);
ukládám, určuji;ἐπι-τίθημι;
špatně mluvím o (akuz.);κακῶς ἀγορεύω (akuz.);
bojím se;δέδοικα;
naplňuji;ἐμ-πίμπλημι;
zapaluji;ἐμ-πίμπρημι;
podkopávám, bořím;κατασκάπτω;
spěchám, pospíchám;σπεύδω;
ležím kolem;περίκειμαι;
bojuji na moři, svádím námořní bitvu;ναθμαχῶ, εῖν;
zadržuji;κατέχω;
shromažďuji, sbírám;συνάγω;
povstávám;ἀν-ίσταμαι;
prožívám;καταβιῶ, οῦν;
stává se, přihází se;ἀπο-βαίνει;
sdílím se o to, sděluji (+dat.);ἀνα-κοινοῦμαι (+dat.);
odsuzuji (+gen);κατα-γιγνώσκω (+gen);
odsuzuji někoho k smrti;θάνατον καταγιγνώσκω τινός;
plodím, rodím;φύω;
oblékám;ἐν-δύω;
svlékám (si, se);ἐκ-δύομαι;
potápím, ponořuji;κατα-δύω;
lámu;κατ-άγνυμι;
hubím, ztrácím;ἀπ-όλλυμι;
hynu;ἀπόλλυμαι;
jsem ztracen, je po mně veta;ἀπόλωλα;
poutám, spojuji;ζεύγνυμι;
rozlučuji, strhávám;δια-λύω;
vítězím v boji;μάχην νικῶ, ᾶν;
jsem jednomyslný, svorný;ὁμονοῶ, εῖν;
upevňuji, zarážím;πήγνυμι;
oblékám;ἀμφιέννυμι;
nosím, nosívám;φορῶ, εῖν;
opásávám, med. přepásávám se;περι-ζώννυμι;
vítěziti v olympijských hrách;Ὀλύμπια νικᾶν;
snadno běžím;ῥᾴδιός εἰμι τρέχειν;
závodím v pětiboji;τὸ π. ἀγωνίζομαι;
obsahuji;περι-έχω;
mísím;κεράννυμι;
hrozím;ἀπειλῶ, εῖν;
posiluji, pass. sílím, mohutním;ῥώννυμι;
býti silný, zdráv;ἐρρῶσθαι;
hasím, potlačuji;κατα-σβέννυμι;
uhasínám;ἀπο-σβέννυμαι;
odděluji, jsem vzdálen;δι-έχω (impf. διεῖχον);
podezírám, tuším (s obavou);ὑπ-οπτεύω;
podobám se;ἔοικα, ἐοικέναι;
vím;οἶδα, εἰδέναι;
zakouším dobrého, dobře se se mnou zachází;εὖ πάσχω;
prokazuji (projevuji) někomu vděčnost;οἶδα χάριν τινί;
skrývám, zatajuji;ἀπο-κρύπτω;
vypátrávám, vyšetřuji, vyzvídám;ἐξερευνῶ, ᾶν;
jsem slabší, podléhám, jsem poražen;ἡττῶμαι, ᾶσθαι;
spolu vím (τινί τι: vím -jistě- o někom něco);σύν-οιδα;
jsem si vědom;σύν-οιδα ἐμαυτῷ;
lichotím, pochlebuji (+akuz.);κολακεύω (+akuz.);
jsem pustošen;γίγνομαι ἀνάστατος;
prokopávám;διορύττω;
hrnu se, valím se;ῥέω, ῥεῖν;
pozbívám mysli, malomyslním;ἀθυμῶ, εῖν;
provádím, pořizuji;δια-πράττω;
posiluji, vzmužuji;ἐπι-ρρώννυμι;
dělám, vytvářím;ἐργάζομαι;
spím;καθεύδω;
vydržuji, snáším;ἀν-έχομαι;
nechávám;ἐῶ, ᾶν;
vycházím;ἔξ-ειμι, ιέναι;
kupuji zač;ὠνοῦμαι, εῖσθαι (+gen);
žiji;ζῶ, ζῆν;
toužím, dychtím;ἐπιθυμῶ, εῖν;
lačním;πεινῶ, ῆν;
žízním;διψῶ, ῆν;
užívám (+dat.);χρῶμαι, ῆσθαι (+dat.);
miluji moudrost, zabývám se filosofií;φιλοσοφῶ, εῖν;
zkoumám;ἐξ-ετάζω;
hledím, pozoruji;σκοπῶ, εῖν;
hospodařím, spravuji;δι-οικῶ, εῖν;
slzím, pláči;δακρύω;
prožívám život;διατελῶ (εῖν) τὸν βίον;
odplouvám;ἀπο-πλέω;
rozptyluji;δια-σκεδάννυμι;
spaluji;ἀπο-καίω;
doplouvám;κατα-πλέω;
upevňuji;πήγνυμι;
nalévám;ἐγ-χέω;
děd;ὁ πάππος, ου;
svěřuji, dovoluji;ἐπι-τρέπω;
třesu se, trnu;τρέω;
